city,state,country,2020,2021,2022,2023,2024,2025,2026
Bay City,MI,US,,,,42,44,43,62
DeWitt,MI,US,,,,56,56,55,62
Breinigsville,PA,US,,,,,,,62
Harleysville,PA,US,,34,35,54,50,50,62
Blue Mound,TX,US,,,5,9,12,14,62
Clarksville,VA,US,,,,,20,38,62
Buckley,WA,US,,,,63,63,60,62
Coupeville,WA,US,,,,,64,65,62
Fitchburg,WI,US,33,41,40,42,47,47,62
Valdez,AK,US,,,,,74,71,61
Alameda,CA,US,,,44,46,47,53,61
San Francisco,CA,US,59,60,61,63,64,63,61
Silver Plume,CO,US,,,12,12,14,14,61
Urbandale,IA,US,,,,50,52,52,61
Sault Ste. Marie,MI,US,,,,,55,55,61
Pioche,NV,US,,,,,,,61
Hewitt,NJ,US,,,,15,13,13,61
Kearny,NJ,US,,,,,34,40,61
Keene,NY,US,,,,,,,61
Buffalo,PA,US,,,,,,,61
Lykens,PA,US,,,,,,,61
Berkeley Springs,WV,US,,,,,,,61
Hayward,WI,US,,57,51,58,58,56,61
Hudson,WI,US,,,,54,55,55,61
Orange Beach,AL,US,,,,,,40,60
Carmel-by-the-Sea,CA,US,,,,,54,54,60
Grover Beach,CA,US,44,45,38,45,44,45,60
Irwindale,CA,US,,,,,,,60
Larkspur,CA,US,,,,,45,43,60
Sautee-Nacoochee,GA,US,,,,,,20,60
Spirit Lake,IA,US,,,,,,,60
Grahn,KY,US,,,,,,,60
Iron Mountain,MI,US,,,,,50,51,60
Zeeland,MI,US,,,,53,56,55,60
Caliente,NV,US,,,,,,,60
New Paltz,NY,US,,16,16,16,19,20,60
Mifflinburg,PA,US,,,,60,55,55,60
Talty,TX,US,,,12,13,13,13,60
Stowe,VT,US,,,,46,46,52,60
Lopez Island,WA,US,,,,,,28,60
Clay,WV,US,,,,,38,38,60
Beloit,WI,US,,,,,,,60
Rothschild,WI,US,,,,,,,60
Rehoboth Beach,DE,US,,21,28,33,35,35,59
Clive,IA,US,,,,,,56,59
Nippa,KY,US,,,,,,,59
Chelsea,MI,US,,56,56,50,51,46,59
Hillman,MI,US,,46,52,44,46,46,59
Marquette,MI,US,60,61,61,61,69,70,59
Maple Grove,MN,US,38,41,45,49,50,52,59
Shoreview,MN,US,,,,35,36,36,59
Linwood,NJ,US,,,,,43,45,59
Ocean City,NJ,US,,,,60,70,70,59
Voorhees,NJ,US,,,,,,,59
Ashland,OR,US,,70,70,70,73,73,59
Confluence,PA,US,,,,,41,41,59
Tatamy,PA,US,11,9,9,16,16,16,59
Reno,TX,US,,,9,9,9,9,59
Smithfield,VA,US,,,,,,35,59
Hales Corners,WI,US,38,39,38,40,41,42,59
Hartford,WI,US,,,,,,,59
Kewaskum,WI,US,,,,,,,59
Wisconsin Rapids,WI,US,,,,,57,57,59
Leighton,AL,US,,,,34,37,37,58
Quincy,CA,US,,,,46,46,48,58
Black Hawk,CO,US,,,24,24,19,19,58
Salida,CO,US,,64,64,65,62,61,58
Pine Mountain,GA,US,,,,,25,27,58
Coeur D'Alene,ID,US,7,24,27,45,45,47,58
Aurora,IL,US,10,46,50,49,50,52,58
Mount Prospect,IL,US,,7,8,8,9,37,58
Patten,ME,US,,,,,44,47,58
Richmond,ME,US,,,,,,,58
Groton,MA,US,,,,,27,26,58
Brighton,MI,US,,25,27,28,29,29,58
Cedar Springs,MI,US,,,,,,37,58
Grand Ledge,MI,US,,,,49,50,51,58
Newaygo,MI,US,,,,,,,58
Sandusky,MI,US,,,,,,,58
Hooksett,NH,US,22,19,22,21,22,23,58
Arroyo Seco,NM,US,,,,,,,58
Andover,OH,US,,,,,35,40,58
Drexel Hill,PA,US,,,,,41,41,58
Hatfield,PA,US,,,,,24,22,58
St. Paul,TX,US,,,16,19,21,26,58
Garden City,UT,US,,,,,,,58
Winooski,VT,US,,,,,,30,58
Chippewa Falls,WI,US,,,,,55,57,58
Exeter,WI,US,,,,,,,58
Fairhope,AL,US,,56,56,55,50,47,57
Petersburg,AK,US,,,,62,62,62,57
Citrus,CA,US,,,,,,,57
El Segundo,CA,US,,,,,,,57
Gonzales,CA,US,,,,,,,57
Mill Valley,CA,US,30,35,35,35,36,37,57
Tolland,CT,US,,28,27,22,26,28,57
Hapeville,GA,US,,,7,7,29,29,57
Buckfield,ME,US,,54,49,43,39,42,57
Eden Prairie,MN,US,,,42,43,45,45,57
St. Louis Park,MN,US,16,16,44,52,55,57,57
Box Elder,MT,US,,,,,49,49,57
Helena,MT,US,48,56,56,62,61,60,57
North Haverhill,NH,US,,,,,25,28,57
Warner,NH,US,,,,,33,33,57
Beaver,PA,US,,,,36,34,34,57
Susquehanna Depot,PA,US,,,,,22,23,57
Trappe,PA,US,,,,,33,21,57
Aberdeen,SD,US,53,53,53,54,61,61,57
Escalante,UT,US,,,,,,,57
Beaver Dam,WI,US,,,,,,44,57
Fond du Lac,WI,US,,,52,54,54,53,57
Mazomanie,WI,US,,,,,41,41,57
Milwaukee,WI,US,28,32,35,45,46,50,57
West Bend,WI,US,,,,,50,50,57
Wisconsin Dells,WI,US,,,45,43,44,42,57
Scottsboro,AL,US,,,,,,,56
Juneau,AK,US,35,34,30,34,42,41,56
Aptos,CA,US,33,33,33,28,31,30,56
Healdsburg,CA,US,,48,41,48,59,59,56
North El Monte,CA,US,,,,,,,56
Seaside,CA,US,,60,60,63,60,60,56
St. Helena,CA,US,,,,56,50,47,56
Montrose,CO,US,,7,7,43,42,43,56
Hoffman Estates,IL,US,,17,17,41,43,42,56
Bloomington,IN,US,10,34,36,40,56,58,56
Lincolnville,ME,US,,,,,,,56
Big Rapids,MI,US,,,,44,55,51,56
Grand Haven,MI,US,,,,59,59,59,56
Traverse City,MI,US,61,61,62,63,67,55,56
St. Paul,MN,US,9,42,43,59,61,62,56
Woodbury,MN,US,,,46,46,47,48,56
Elkhorn,NE,US,,,,,,,56
Philmont,NY,US,,,,,29,29,56
Pelican Bay,TX,US,,,8,8,8,8,56
Newbury,VT,US,,,,,,,56
Rutland,VT,US,56,58,60,62,61,61,56
Tunnelton,WV,US,,,,,22,22,56
Hartland,WI,US,,,,,,40,56
Marinette,WI,US,,,,,62,64,56
Stevens Point,WI,US,,49,49,50,52,65,56
Ladera Heights,CA,US,,,,,,,55
Orland,CA,US,,,,44,49,49,55
Twentynine Palms,CA,US,,,,,55,55,55
Walnut Creek,CA,US,,34,36,36,38,38,55
Louisville,CO,US,,50,56,51,52,51,55
Ponte Vedra,FL,US,,25,25,25,26,26,55
Tallulah Falls,GA,US,,,,42,42,42,55
Lebanon,IL,US,,60,60,60,47,47,55
Mundelein,IL,US,,25,35,38,44,44,55
Borden,IN,US,,,,,,,55
Iowa City,IA,US,38,49,46,43,44,44,55
Bath,ME,US,,,,,,,55
Fryeburg,ME,US,,,,46,44,45,55
Mattapoisett Center,MA,US,,,,,28,44,55
Detroit,MI,US,41,41,42,42,43,43,55
Muskegon,MI,US,,,61,41,43,48,55
Thompsonville,MI,US,,,,70,77,56,55
Esko,MN,US,,,,,,,55
Columbia Falls,MT,US,,,,,,,55
Libby,MT,US,,,,43,43,43,55
North Wildwood,NJ,US,35,47,56,56,56,60,55
Stuyvesant,NY,US,,13,13,13,11,11,55
Mandan,ND,US,,,,,,42,55
Lorain,OH,US,,,,,,,55
Portland,OR,US,49,51,55,58,59,61,55
Bloomsburg,PA,US,,,,,58,58,55
Mitchell,SD,US,,,,,51,52,55
Dalworthington Gardens,TX,US,,,9,10,10,10,55
Bridgewater,VA,US,,,,,32,32,55
Keezletown,VA,US,,,,,12,11,55
Blaine,WA,US,,,,34,34,31,55
Glencoe,AL,US,,,,33,31,30,54
Austin,AR,US,,,,,,,54
East Whittier,CA,US,,,,,,,54
Manhattan Beach,CA,US,,52,51,50,52,48,54
Westwood,CA,US,,,,,,,54
Bennett,CO,US,,,24,25,28,30,54
Garden City,CO,US,,,4,5,11,11,54
Mancelona,MI,US,,,,,,,54
Rockford,MI,US,,,,55,56,57,54
Waterford,MI,US,,,,,,,54
Cottleville,MO,US,,,,,,,54
New Brunswick,NJ,US,,41,41,41,44,45,54
Hudson,NY,US,,,,,19,19,54
Athens,OH,US,49,49,52,61,63,63,54
Philadelphia,PA,US,43,47,48,57,58,59,54
Annetta,TX,US,,,20,23,17,15,54
Fairview,TX,US,,,15,28,28,29,54
Providence Village,TX,US,,,16,24,31,32,54
Salt Lake City,UT,US,46,42,44,50,52,62,54
Santaquin,UT,US,,,50,40,40,47,54
South Burlington,VT,US,34,35,37,39,40,42,54
Falls Church,VA,US,,39,39,40,40,40,54
Hardy,VA,US,,,,,,,54
Anacortes,WA,US,,,,,,,54
Green Bay,WI,US,40,38,38,40,40,40,54
Manitowoc,WI,US,,,,,47,49,54
Oregon,WI,US,,,,,,54,54
Beverly Hills,CA,US,,,37,37,39,39,53
Bonita,CA,US,,13,15,13,15,16,53
Monrovia,CA,US,,,,,,,53
San Luis Obispo,CA,US,62,63,62,63,63,66,53
Sunnyside-Tahoe City,CA,US,,,,50,48,42,53
Vernon,CA,US,,,,,,,53
Decorah,IA,US,,,,,51,51,53
Galena,MD,US,,,,,,,53
Pontiac,MI,US,,,,28,32,34,53
Elizabeth,NJ,US,,37,37,41,45,44,53
Folsom,NJ,US,,,,,27,22,53
Kenilworth,NJ,US,,,,,41,39,53
Jamestown,ND,US,,,,,,42,53
Canfield,OH,US,,,,40,43,41,53
Dublin,OH,US,46,34,36,44,43,38,53
Mason,OH,US,,,,,,35,53
Troy,OH,US,45,45,44,48,46,46,53
Providence,PA,US,,,,,,,53
Sadsburyville,PA,US,,,,,8,7,53
Lamar,TX,US,,29,29,30,30,30,53
Park City,UT,US,,34,33,48,48,61,53
Gilman,VT,US,,,,,,,53
Fairfax,VA,US,,46,48,46,46,46,53
Stafford,VA,US,27,32,32,33,38,39,53
Genoa City,WI,US,,,,,,55,53
Spooner,WI,US,,,,,,,53
Hoover,AL,US,20,21,21,22,24,24,52
Alamo,CA,US,,27,30,30,31,30,52
Bishop,CA,US,,,,,,,52
Midway City,CA,US,,,,,,,52
Broomfield,CO,US,,26,48,46,47,48,52
Golden,CO,US,21,23,23,48,51,50,52
Lawrence,KS,US,19,40,42,41,43,52,52
Boyne City,MI,US,,,,,58,43,52
Portland,MI,US,,,,,,,52
Walled Lake,MI,US,28,27,33,24,33,33,52
New Hampton,NH,US,,,,,,17,52
Westfield,NJ,US,,,40,40,49,48,52
Kinderhook,NY,US,,,,,,,52
Shandaken,NY,US,,,,,,,52
The Bronx,NY,US,33,42,44,44,,50,52
Grandview Heights,OH,US,,,25,24,26,24,52
Shaker Heights,OH,US,,,,31,32,42,52
Cleona,PA,US,,,,,10,10,52
Lansdowne,PA,US,,,,36,37,37,52
Slatington,PA,US,,,,35,32,31,52
Bluffdale,UT,US,,,,,,,52
Kearns,UT,US,,,,,,,52
Liberty,UT,US,,,,22,23,23,52
North Bend,WA,US,,,,,41,46,52
Marlinton,WV,US,,,,,,,52
Madison,WI,US,50,51,55,58,60,61,52
Homer,AK,US,,,,,,,51
Chico,CA,US,44,47,47,48,51,57,51
Danville,CA,US,,32,33,36,37,37,51
Half Moon Bay,CA,US,,,,49,51,51,51
Dover,ID,US,,,,,9,9,51
Oswego,IL,US,,,36,38,37,37,51
West Lafayette,IN,US,,,,47,47,52,51
Bettendorf,IA,US,34,38,45,46,47,47,51
Pella,IA,US,,60,60,44,47,54,51
Leonardtown,MD,US,,,,,,,51
Orleans,MA,US,,,,,44,44,51
Ann Arbor,MI,US,40,38,36,45,46,45,51
Redford,MI,US,,,,,,,51
Knob Noster,MO,US,,,,51,51,51,51
