"DOCTNMBR","AGENCY","ACCDDATE","ACCDHOUR","COUNTY","CNTYCODE","MUNICIPALITY","MUNITYPE","MUNICODE","ONRDWY","ONRDWYDIR","ATRDWY","INTDIS","INTDIR","LATITUDE","LONGITUDE","INJSVR","TOTFATL","TOTINJ","TOTVEH","MNRCOLL","ACCDTYPE","AGGRFLAG","ATVFLAG","BIKEFLAG","BUSFLAG","CMVFLAG","CONSZONE","DEERFLAG","DISTRCTD","IMPAIRED","INTRFLAG","LANEDP1U","LANEDP2U","MCYCFLAG","OCCPPROT","PEDFLAG","SPEEDFLAG","TEENDRVR","65+DRVR","GOVTPROP"
01L0DG26PG,"MADISON POLICE DEPARTMENT","05/18/2018","9","DANE","13","MADISON","C","1373","N LAKE ST","","W JOHNSON ST",".01","N","43.072122","-89.397459","B","0","1","1","1","5","","","","","","","","Y","","Y","","","","","Y","","","",""
01L02BC3FS,"MADISON POLICE DEPARTMENT","05/18/2018","12","DANE","13","MADISON","C","1373","S ALLEN ST","","N ALLEN ST",".01","S","43.067758","-89.423773","B","0","1","1","1","1","","","","","","","","","","Y","","","","","Y","","","",""
01L02BC3FX,"MADISON POLICE DEPARTMENT","06/04/2018","6","DANE","13","MADISON","C","1373","SHILOH DR","","ACADIA DR",".01","E","43.071956","-89.499053","B","0","1","1","5","1","","","","","","","","","","Y","","","","","Y","","","",""
01L0CX0Q90,"MADISON POLICE DEPARTMENT","07/08/2018","1","DANE","13","MADISON","C","1373","W JOHNSON ST","","N HENRY ST","0","","43.074744","-89.389991","C","0","1","1","1","5","","","","","","","","","","Y","","","","","Y","","","",""
01L0X1Z7V5,"MADISON POLICE DEPARTMENT","07/10/2018","18","DANE","13","MADISON","C","1373","N BROOM ST","","W JOHNSON ST","0","","43.073489","-89.39172","B","0","1","1","0","1","","","","","","","","","","Y","","","","","Y","","","",""
01L0C5S29X,"MADISON POLICE DEPARTMENT","07/13/2018","20","DANE","13","MADISON","C","1373","WILLIAMSON ST","","S INGERSOLL ST","0","","43.081995","-89.366116","B","0","1","1","1","5","","","","","","","","","","Y","","","","","Y","","","",""
01L02BC3G9,"MADISON POLICE DEPARTMENT","07/19/2018","10","DANE","13","MADISON","C","1373","151 S PARK ST","S","VILAS AVE (1)",".01","S","43.063079","-89.400842","B","0","1","1","1","1","","","","","Y","","","","","Y","","","","","Y","","","",""
01L0FZQKSM,"MADISON POLICE DEPARTMENT","07/22/2018","5","DANE","13","MADISON","C","1373","KING ST","","S WEBSTER ST",".01","W","43.07465","-89.380254","A","0","2","1","1","5","","","","","","","","","","Y","","","","","Y","","Y","",""
01L0DH97RZ,"MADISON POLICE DEPARTMENT","07/23/2018","13","DANE","13","MADISON","C","1373","W OLIN AVE","N","151","0","","43.054036","-89.396399","A","0","1","1","0","5","","","","","","","","","","Y","","","","","Y","","","",""
01L0TS2DB6,"MADISON POLICE DEPARTMENT","07/26/2018","15","DANE","13","MADISON","C","1373","PARK STREET","","REGENT STREET","0","E","0","0","A","0","3","2","5","1","","","","","","","","","","Y","","","","","Y","","","",""
01L0CR2KSV,"MADISON POLICE DEPARTMENT","08/14/2018","14","DANE","13","MADISON","C","1373","W JOHNSON ST","","N BASSETT ST","0","","43.072271","-89.393543","B","0","1","1","5","1","","","","","","","","Y","","Y","","","","","Y","","","",""
01L0C884K6,"MADISON POLICE DEPARTMENT","09/01/2018","16","DANE","13","MADISON","C","1373","S THOMPSON DR","","MILWAUKEE ST",".01","S","43.098887","-89.2887","A","0","1","1","1","5","","","","","","","","","","Y","","","","","Y","","","Y",""
01L0X1Z7VM,"MADISON POLICE DEPARTMENT","09/02/2018","2","DANE","13","MADISON","C","1373","N CARROLL ST","","W JOHNSON ST","0","","43.076049","-89.388122","B","0","1","1","1","5","","","","","","","","","","Y","","","","","Y","","","",""
01L0FSSFCC,"MADISON POLICE DEPARTMENT","09/07/2018","0","DANE","13","MADISON","C","1373","SWANTON RD","","MILWAUKEE ST","0","","43.098813","-89.30158","A","0","1","1","1","5","","","","","","","","","Y","Y","","","","","Y","","","",""
01L0W3KDC0,"MADISON POLICE DEPARTMENT","09/14/2018","19","DANE","13","MADISON","C","1373","151 E WASHINGTON AVE","N","E MAIN ST",".08","N","43.088568","-89.364313","B","0","1","1","1","5","","","","","","","","","","Y","","","","","Y","","Y","",""
