OBJECTID,ZONING_COD,ZON_ANNO,PD_ID,ZON_PREFIX,ShapeSTAre,ShapeSTLen,Zoning_Doc,Zoning_Dis,area
"317560",A,,"0",,142751.965820312500000,1574.217094401833947,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,33314.0985405665
"317561",IG,,"0",,2531050.700805664062500,6637.224582278300659,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,586401.832892517
"317562",PD,,"0",,88609.583068847656250,1217.440361721282443,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,20451.0690958822
"317563",SR-C3,,"0",,38104.981201171875000,1086.970276785164742,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,8860.73062640345
"317564",TSS,,"0",,468426.651763916015625,4372.296894630408133,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,108474.768436005
"317565",PD,,"0",,431382.153747558593750,2639.345483367857014,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,99354.3043802064
"317566",PD,,"0",,261406.635009765625000,2393.283834938242308,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,60330.6228372119
"317567",CC,,"0",,19770748.259368896484375,56420.520006402090075,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,4604289.36947845
"317568",PD,,"0",,169572.661743164062500,1808.374474062097761,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,39466.2564055108
"317569",PD,,"0",,78118.101837158203125,1114.684050523011138,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,18208.1492434058
